#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K + 3He Elastic Scattering Liang Optical Model 21 MeV"                       
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  1 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
  0.1000E-01   1.000    
   1.000      0.9997    
   2.000       1.001    
   3.000      0.9801    
   4.000      0.9937    
   5.000       1.036    
   6.000       1.069    
   7.000       1.070    
   8.000       1.043    
   9.000       1.001    
   10.00      0.9590    
   11.00      0.9259    
   12.00      0.9030    
   13.00      0.8865    
   14.00      0.8704    
   15.00      0.8486    
   16.00      0.8173    
   17.00      0.7753    
   18.00      0.7238    
   19.00      0.6664    
   20.00      0.6076    
   21.00      0.5518    
   22.00      0.5030    
   23.00      0.4636    
   24.00      0.4347    
   25.00      0.4158    
   26.00      0.4051    
   27.00      0.3999    
   28.00      0.3972    
   29.00      0.3941    
   30.00      0.3882    
   31.00      0.3777    
   32.00      0.3620    
   33.00      0.3412    
   34.00      0.3163    
   35.00      0.2888    
   36.00      0.2608    
   37.00      0.2340    
   38.00      0.2104    
   39.00      0.1911    
   40.00      0.1770    
   41.00      0.1682    
   42.00      0.1644    
   43.00      0.1646    
   44.00      0.1677    
   45.00      0.1721    
   46.00      0.1765    
   47.00      0.1796    
   48.00      0.1803    
   49.00      0.1779    
   50.00      0.1723    
   51.00      0.1633    
   52.00      0.1516    
   53.00      0.1379    
   54.00      0.1229    
   55.00      0.1077    
   56.00      0.9316E-01
   57.00      0.8009E-01
   58.00      0.6910E-01
   59.00      0.6057E-01
   60.00      0.5466E-01
   61.00      0.5128E-01
   62.00      0.5018E-01
   63.00      0.5092E-01
   64.00      0.5300E-01
   65.00      0.5586E-01
   66.00      0.5895E-01
   67.00      0.6176E-01
   68.00      0.6391E-01
   69.00      0.6510E-01
   70.00      0.6515E-01
   71.00      0.6403E-01
   72.00      0.6178E-01
   73.00      0.5854E-01
   74.00      0.5454E-01
   75.00      0.5002E-01
   76.00      0.4523E-01
   77.00      0.4043E-01
   78.00      0.3584E-01
   79.00      0.3163E-01
   80.00      0.2793E-01
 END
