#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7973 keV Jpi=3- l=1 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       35.74    
   1.000       35.77    
   2.000       35.83    
   3.000       35.88    
   4.000       35.85    
   5.000       35.67    
   6.000       35.24    
   7.000       34.49    
   8.000       33.37    
   9.000       31.83    
   10.00       29.90    
   11.00       27.62    
   12.00       25.07    
   13.00       22.36    
   14.00       19.63    
   15.00       17.00    
   16.00       14.58    
   17.00       12.46    
   18.00       10.69    
   19.00       9.311    
   20.00       8.300    
   21.00       7.625    
   22.00       7.236    
   23.00       7.066    
   24.00       7.048    
   25.00       7.109    
   26.00       7.187    
   27.00       7.226    
   28.00       7.185    
   29.00       7.039    
   30.00       6.778    
   31.00       6.409    
   32.00       5.949    
   33.00       5.422    
   34.00       4.858    
   35.00       4.284    
   36.00       3.727    
   37.00       3.205    
   38.00       2.737    
   39.00       2.333    
   40.00       1.998    
   41.00       1.734    
   42.00       1.536    
   43.00       1.398    
   44.00       1.308    
   45.00       1.256    
   46.00       1.229    
   47.00       1.217    
   48.00       1.211    
   49.00       1.203    
   50.00       1.190    
   51.00       1.169    
   52.00       1.139    
   53.00       1.099    
   54.00       1.051    
   55.00      0.9966    
   56.00      0.9382    
   57.00      0.8785    
   58.00      0.8200    
   59.00      0.7654    
   60.00      0.7166    
   61.00      0.6750    
   62.00      0.6410    
   63.00      0.6145    
   64.00      0.5948    
   65.00      0.5809    
   66.00      0.5714    
   67.00      0.5653    
   68.00      0.5613    
   69.00      0.5581    
   70.00      0.5547    
   71.00      0.5500    
   72.00      0.5429    
   73.00      0.5327    
   74.00      0.5190    
   75.00      0.5016    
   76.00      0.4806    
   77.00      0.4566    
   78.00      0.4300    
   79.00      0.4018    
   80.00      0.3727    
 END
