#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=2 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       44.05    
   1.000       44.11    
   2.000       44.28    
   3.000       44.55    
   4.000       44.89    
   5.000       45.26    
   6.000       45.62    
   7.000       45.92    
   8.000       46.08    
   9.000       46.05    
   10.00       45.75    
   11.00       45.14    
   12.00       44.17    
   13.00       42.83    
   14.00       41.13    
   15.00       39.08    
   16.00       36.72    
   17.00       34.12    
   18.00       31.35    
   19.00       28.48    
   20.00       25.61    
   21.00       22.83    
   22.00       20.20    
   23.00       17.79    
   24.00       15.65    
   25.00       13.81    
   26.00       12.27    
   27.00       11.01    
   28.00       10.03    
   29.00       9.264    
   30.00       8.685    
   31.00       8.243    
   32.00       7.893    
   33.00       7.593    
   34.00       7.307    
   35.00       7.006    
   36.00       6.670    
   37.00       6.290    
   38.00       5.863    
   39.00       5.394    
   40.00       4.896    
   41.00       4.382    
   42.00       3.870    
   43.00       3.375    
   44.00       2.912    
   45.00       2.495    
   46.00       2.133    
   47.00       1.832    
   48.00       1.594    
   49.00       1.418    
   50.00       1.300    
   51.00       1.232    
   52.00       1.205    
   53.00       1.209    
   54.00       1.235    
   55.00       1.272    
   56.00       1.311    
   57.00       1.346    
   58.00       1.370    
   59.00       1.379    
   60.00       1.371    
   61.00       1.343    
   62.00       1.298    
   63.00       1.237    
   64.00       1.163    
   65.00       1.079    
   66.00      0.9886    
   67.00      0.8959    
   68.00      0.8041    
   69.00      0.7159    
   70.00      0.6338    
   71.00      0.5595    
   72.00      0.4945    
   73.00      0.4392    
   74.00      0.3937    
   75.00      0.3577    
   76.00      0.3301    
   77.00      0.3098    
   78.00      0.2953    
   79.00      0.2853    
   80.00      0.2783    
 END
