#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4+ l=6 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.6739E-02
   1.000      0.7068E-02
   2.000      0.8059E-02
   3.000      0.9711E-02
   4.000      0.1203E-01
   5.000      0.1500E-01
   6.000      0.1863E-01
   7.000      0.2289E-01
   8.000      0.2774E-01
   9.000      0.3312E-01
   10.00      0.3897E-01
   11.00      0.4519E-01
   12.00      0.5168E-01
   13.00      0.5831E-01
   14.00      0.6498E-01
   15.00      0.7160E-01
   16.00      0.7808E-01
   17.00      0.8440E-01
   18.00      0.9053E-01
   19.00      0.9652E-01
   20.00      0.1024    
   21.00      0.1083    
   22.00      0.1142    
   23.00      0.1203    
   24.00      0.1266    
   25.00      0.1332    
   26.00      0.1401    
   27.00      0.1473    
   28.00      0.1549    
   29.00      0.1627    
   30.00      0.1707    
   31.00      0.1787    
   32.00      0.1867    
   33.00      0.1944    
   34.00      0.2018    
   35.00      0.2085    
   36.00      0.2146    
   37.00      0.2196    
   38.00      0.2236    
   39.00      0.2262    
   40.00      0.2275    
   41.00      0.2272    
   42.00      0.2254    
   43.00      0.2220    
   44.00      0.2171    
   45.00      0.2107    
   46.00      0.2030    
   47.00      0.1942    
   48.00      0.1844    
   49.00      0.1739    
   50.00      0.1629    
   51.00      0.1517    
   52.00      0.1404    
   53.00      0.1292    
   54.00      0.1185    
   55.00      0.1082    
   56.00      0.9869E-01
   57.00      0.8992E-01
   58.00      0.8202E-01
   59.00      0.7503E-01
   60.00      0.6897E-01
   61.00      0.6382E-01
   62.00      0.5956E-01
   63.00      0.5613E-01
   64.00      0.5345E-01
   65.00      0.5142E-01
   66.00      0.4996E-01
   67.00      0.4897E-01
   68.00      0.4833E-01
   69.00      0.4796E-01
   70.00      0.4776E-01
   71.00      0.4765E-01
   72.00      0.4756E-01
   73.00      0.4744E-01
   74.00      0.4724E-01
   75.00      0.4693E-01
   76.00      0.4649E-01
   77.00      0.4591E-01
   78.00      0.4518E-01
   79.00      0.4430E-01
   80.00      0.4330E-01
 END
