#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=7- l=7 n=1 j=15/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.5784E-01
   1.000      0.5841E-01
   2.000      0.5998E-01
   3.000      0.6223E-01
   4.000      0.6468E-01
   5.000      0.6687E-01
   6.000      0.6840E-01
   7.000      0.6901E-01
   8.000      0.6860E-01
   9.000      0.6724E-01
   10.00      0.6522E-01
   11.00      0.6302E-01
   12.00      0.6128E-01
   13.00      0.6080E-01
   14.00      0.6230E-01
   15.00      0.6626E-01
   16.00      0.7274E-01
   17.00      0.8120E-01
   18.00      0.9058E-01
   19.00      0.9944E-01
   20.00      0.1063    
   21.00      0.1101    
   22.00      0.1102    
   23.00      0.1070    
   24.00      0.1016    
   25.00      0.9544E-01
   26.00      0.9025E-01
   27.00      0.8753E-01
   28.00      0.8819E-01
   29.00      0.9250E-01
   30.00      0.1000    
   31.00      0.1098    
   32.00      0.1206    
   33.00      0.1311    
   34.00      0.1404    
   35.00      0.1477    
   36.00      0.1526    
   37.00      0.1554    
   38.00      0.1563    
   39.00      0.1559    
   40.00      0.1549    
   41.00      0.1539    
   42.00      0.1535    
   43.00      0.1540    
   44.00      0.1558    
   45.00      0.1587    
   46.00      0.1625    
   47.00      0.1668    
   48.00      0.1711    
   49.00      0.1746    
   50.00      0.1768    
   51.00      0.1773    
   52.00      0.1756    
   53.00      0.1717    
   54.00      0.1658    
   55.00      0.1583    
   56.00      0.1497    
   57.00      0.1407    
   58.00      0.1318    
   59.00      0.1236    
   60.00      0.1166    
   61.00      0.1110    
   62.00      0.1066    
   63.00      0.1034    
   64.00      0.1011    
   65.00      0.9914E-01
   66.00      0.9711E-01
   67.00      0.9461E-01
   68.00      0.9137E-01
   69.00      0.8728E-01
   70.00      0.8243E-01
   71.00      0.7708E-01
   72.00      0.7163E-01
   73.00      0.6653E-01
   74.00      0.6224E-01
   75.00      0.5909E-01
   76.00      0.5724E-01
   77.00      0.5668E-01
   78.00      0.5718E-01
   79.00      0.5838E-01
   80.00      0.5982E-01
 END
