#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=1- l=1 n=2 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       9.536    
   1.000       9.518    
   2.000       9.461    
   3.000       9.361    
   4.000       9.211    
   5.000       9.004    
   6.000       8.733    
   7.000       8.395    
   8.000       7.988    
   9.000       7.518    
   10.00       6.994    
   11.00       6.430    
   12.00       5.845    
   13.00       5.257    
   14.00       4.688    
   15.00       4.157    
   16.00       3.679    
   17.00       3.268    
   18.00       2.930    
   19.00       2.668    
   20.00       2.478    
   21.00       2.351    
   22.00       2.278    
   23.00       2.243    
   24.00       2.234    
   25.00       2.235    
   26.00       2.234    
   27.00       2.221    
   28.00       2.189    
   29.00       2.133    
   30.00       2.052    
   31.00       1.946    
   32.00       1.821    
   33.00       1.679    
   34.00       1.527    
   35.00       1.371    
   36.00       1.217    
   37.00       1.070    
   38.00      0.9334    
   39.00      0.8114    
   40.00      0.7056    
   41.00      0.6167    
   42.00      0.5443    
   43.00      0.4874    
   44.00      0.4443    
   45.00      0.4128    
   46.00      0.3907    
   47.00      0.3755    
   48.00      0.3651    
   49.00      0.3577    
   50.00      0.3516    
   51.00      0.3457    
   52.00      0.3391    
   53.00      0.3314    
   54.00      0.3224    
   55.00      0.3122    
   56.00      0.3009    
   57.00      0.2890    
   58.00      0.2769    
   59.00      0.2649    
   60.00      0.2535    
   61.00      0.2429    
   62.00      0.2333    
   63.00      0.2248    
   64.00      0.2174    
   65.00      0.2110    
   66.00      0.2056    
   67.00      0.2008    
   68.00      0.1965    
   69.00      0.1925    
   70.00      0.1885    
   71.00      0.1843    
   72.00      0.1798    
   73.00      0.1747    
   74.00      0.1691    
   75.00      0.1629    
   76.00      0.1561    
   77.00      0.1488    
   78.00      0.1410    
   79.00      0.1328    
   80.00      0.1244    
 END
