#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=2 n=1 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       5.807    
   1.000       5.815    
   2.000       5.840    
   3.000       5.878    
   4.000       5.925    
   5.000       5.975    
   6.000       6.022    
   7.000       6.058    
   8.000       6.074    
   9.000       6.061    
   10.00       6.014    
   11.00       5.925    
   12.00       5.789    
   13.00       5.606    
   14.00       5.375    
   15.00       5.100    
   16.00       4.787    
   17.00       4.443    
   18.00       4.078    
   19.00       3.703    
   20.00       3.328    
   21.00       2.965    
   22.00       2.622    
   23.00       2.306    
   24.00       2.025    
   25.00       1.780    
   26.00       1.575    
   27.00       1.407    
   28.00       1.275    
   29.00       1.175    
   30.00       1.101    
   31.00       1.049    
   32.00       1.012    
   33.00      0.9850    
   34.00      0.9626    
   35.00      0.9409    
   36.00      0.9166    
   37.00      0.8876    
   38.00      0.8525    
   39.00      0.8112    
   40.00      0.7641    
   41.00      0.7122    
   42.00      0.6571    
   43.00      0.6004    
   44.00      0.5438    
   45.00      0.4891    
   46.00      0.4378    
   47.00      0.3909    
   48.00      0.3494    
   49.00      0.3136    
   50.00      0.2837    
   51.00      0.2594    
   52.00      0.2402    
   53.00      0.2255    
   54.00      0.2144    
   55.00      0.2061    
   56.00      0.1996    
   57.00      0.1942    
   58.00      0.1892    
   59.00      0.1840    
   60.00      0.1781    
   61.00      0.1714    
   62.00      0.1636    
   63.00      0.1548    
   64.00      0.1451    
   65.00      0.1346    
   66.00      0.1237    
   67.00      0.1126    
   68.00      0.1016    
   69.00      0.9108E-01
   70.00      0.8115E-01
   71.00      0.7207E-01
   72.00      0.6397E-01
   73.00      0.5694E-01
   74.00      0.5100E-01
   75.00      0.4614E-01
   76.00      0.4229E-01
   77.00      0.3934E-01
   78.00      0.3717E-01
   79.00      0.3562E-01
   80.00      0.3456E-01
 END
